geo_point_2d;Geo Shape;id_local;id_osm;code_com;coordonneesxy;capacite;capacite_cargo;type_accroche;mobilier;acces;gratuit;protection;couverture;surveillance;lumiere;url_info;d_service;source;proprietaire;gestionnaire;date_maj;commentaires
47.24014209999996, -2.2782823;"{""coordinates"": [-2.2782823, 47.24014209999996], ""type"": ""Point""}";40;n1655161104;44184;[-2.2782823000000034,47.24014210000001];4;;ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.275722860270285, -2.205563401614654;"{""coordinates"": [-2.205563401614654, 47.275722860270285], ""type"": ""Point""}";82;n1655161426;44184;[-2.2055634016146564,47.27572286027034];6;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.285041587733524, -2.225726700976113;"{""coordinates"": [-2.225726700976113, 47.285041587733524], ""type"": ""Point""}";540;;44184;[-2.225726700976119,47.28504158773357];2;;CADRE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2022-09-19;
47.297832194912985, -2.193971151595806;"{""coordinates"": [-2.193971151595806, 47.297832194912985], ""type"": ""Point""}";544;;44184;[-2.193971151595806,47.29783219491302];3;;ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2022-09-19;stationnement amovible, mis à dispo par la laverie ?
47.28585974973144, -2.195954751533444;"{""coordinates"": [-2.195954751533444, 47.28585974973144], ""type"": ""Point""}";545;;44184;[-2.195954751533448,47.28585974973149];30;;ROUE;RATELIER;ABONNEMENT OU INSCRIPTION PREALABLE;Vrai;STATIONNEMENT NON FERME;Vrai;Faux;Faux;;;© CARENE;;;2022-09-19;salariés des chantiers navals
47.32683526297649, -2.156268802398166;"{""coordinates"": [-2.156268802398166, 47.32683526297649], ""type"": ""Point""}";527;w265189617;44103;[-2.1562688023981638,47.32683526297655];14;;CADRE ET ROUE;RATELIER;ABONNEMENT OU INSCRIPTION PREALABLE;Faux;CONSIGNE COLLECTIVE FERMEE;Vrai;Faux;Vrai;https://www.velyceo.com/abris-velos;;"© les contributeurs d’OpenStreetMap ; © CARENE";;STRAN;2024-02-23;"Abonnement annuel 12 € ; Accès avec le pass mobilité Ycéo délivré à l’Espace Mobilité Ycéo, 6 place Sémard à Saint-Nazaire (pièces justificatives demandées)"
47.250429, -2.3079847;"{""coordinates"": [-2.3079847, 47.250429], ""type"": ""Point""}";57;n8791345476;44132;[-2.3079847000000058,47.250429000000004];10;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Vrai;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.30169192298094, -2.207073656149669;"{""coordinates"": [-2.207073656149669, 47.30169192298094], ""type"": ""Point""}";660;;44210;[-2.2070736561496718,47.30169192298099];4;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2023-01-19;
47.29021382744867, -2.229557008890739;"{""coordinates"": [-2.229557008890739, 47.29021382744867], ""type"": ""Point""}";627;;44184;[-2.2295570088907355,47.290213827448724];4;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2022-09-19;
47.361537, -2.18641930000001;"{""coordinates"": [-2.18641930000001, 47.361537], ""type"": ""Point""}";399;n2708841872;44168;[-2.186419300000005,47.36153699999999];2;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.23893466331302, -2.307042897460853;"{""coordinates"": [-2.307042897460853, 47.23893466331302], ""type"": ""Point""}";664;;44132;[-2.3070428974608554,47.238934663313074];6;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2023-01-19;
47.23695454510714, -2.30115327245016;"{""coordinates"": [-2.30115327245016, 47.23695454510714], ""type"": ""Point""}";662;;44184;[-2.301153272450167,47.236954545107196];10;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2023-07-04;
47.301719742482966, -2.203927767197517;"{""coordinates"": [-2.203927767197517, 47.301719742482966], ""type"": ""Point""}";26;n3260185731;44210;[-2.2039277671975155,47.30171974248301];4;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.267175699999974, -2.3461971;"{""coordinates"": [-2.3461971, 47.267175699999974], ""type"": ""Point""}";230;n8791155975;44132;[-2.3461971000000017,47.2671757];9;;ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.40796029999995, -2.0964177;"{""coordinates"": [-2.0964177, 47.40796029999995], ""type"": ""Point""}";231;n8789439948;44013;[-2.0964177000000035,47.4079603];6;;ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.272634299999964, -2.200994200000011;"{""coordinates"": [-2.200994200000011, 47.272634299999964], ""type"": ""Point""}";256;n3560335006;44184;[-2.200994200000005,47.27263430000002];8;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.27115569999996, -2.2068619;"{""coordinates"": [-2.2068619, 47.27115569999996], ""type"": ""Point""}";269;n5834058089;44184;[-2.2068619000000043,47.27115570000001];12;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.280188, -2.215185700000011;"{""coordinates"": [-2.215185700000011, 47.280188], ""type"": ""Point""}";271;n4875522786;44184;[-2.2151857000000046,47.280188];10;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;Ville de Saint-Nazaire;2022-09-19;
47.27198806950573, -2.204721144057264;"{""coordinates"": [-2.204721144057264, 47.27198806950573], ""type"": ""Point""}";277;n6173125520;44184;[-2.204721144057265,47.271988069505774];6;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.27080339999995, -2.204076;"{""coordinates"": [-2.204076, 47.27080339999995], ""type"": ""Point""}";278;n6173125521;44184;[-2.2040760000000055,47.27080340000002];10;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.272086299999955, -2.2284251;"{""coordinates"": [-2.2284251, 47.272086299999955], ""type"": ""Point""}";287;n6172806060;44184;[-2.228425100000002,47.27208630000001];10;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
